feature_name,segment,funded_loan_count,loss_loan_count,positive_loss_loan_count,observed_loss_rate,portfolio_loan_share,total_recorded_loss_amount,total_positive_loss_amount,portfolio_positive_loss_share,average_loss_per_funded_loan,average_positive_loss_severity,median_positive_loss_severity,maximum_positive_loss_amount,portfolio_loss_rate,loss_rate_difference_pp,is_material_segment,risk_band
feat_001,IND_007,11,4,4,0.36363636363636365,0.0011,146512.84,146512.84,0.0021262902514636046,13319.34909090909,36628.21,36889.25,67061.69,0.2119,15.173636363636364,false,Insufficient sample
feat_001,IND_156,53,19,20,0.3584905660377358,0.0053,767365.22,767365.22,0.011136506442699659,14478.589056603774,38368.261,38733.68,64991.56,0.2119,14.659056603773582,false,Insufficient sample
feat_001,IND_004,17,6,6,0.35294117647058826,0.0017,379960.99,379960.99,0.00551424263548137,22350.646470588235,63326.831666666665,61300.20,123486.60,0.2119,14.104117647058825,false,Insufficient sample
feat_001,IND_120,27,9,9,0.3333333333333333,0.0027,280624.62,280624.62,0.004072608201620271,10393.504444444445,31180.513333333332,31927.33,60157.20,0.2119,12.14333333333333,false,Insufficient sample
feat_001,IND_198,27,9,9,0.3333333333333333,0.0027,70454.20,71559.82,0.0010385229558207342,2609.4148148148147,7951.091111111111,2349.22,28144.77,0.2119,12.14333333333333,false,Insufficient sample
feat_001,IND_014,18,6,6,0.3333333333333333,0.0018,171765.15,171765.15,0.002492768306082824,9542.508333333333,28627.525,26827.21,67911.00,0.2119,12.14333333333333,false,Insufficient sample
feat_001,IND_166,9,3,3,0.3333333333333333,0.0009,184922.44,184922.44,0.002683715512229941,20546.937777777777,61640.81333333333,48371.26,106424.29,0.2119,12.14333333333333,false,Insufficient sample
feat_001,IND_138,6,2,2,0.3333333333333333,0.0006,74635.36,74635.36,0.001083157205760783,12439.226666666667,37317.68,37317.68,37317.68,0.2119,12.14333333333333,false,Insufficient sample
feat_001,IND_067,3,1,1,0.3333333333333333,0.0003,47314.29,47314.29,0.000686655951668959,15771.43,47314.29,47314.29,47314.29,0.2119,12.14333333333333,false,Insufficient sample
feat_001,IND_105,3,1,1,0.3333333333333333,0.0003,11194.93,11194.93,0.0001624681531312713,3731.6433333333334,11194.93,11194.93,11194.93,0.2119,12.14333333333333,false,Insufficient sample
feat_001,IND_043,113,36,36,0.3185840707964602,0.0113,1859941.03,1859941.03,0.0269926818727026,16459.655132743363,51665.02861111111,27307.77,440332.44,0.2119,10.668407079646016,true,High risk
feat_001,IND_019,411,129,132,0.31386861313868614,0.0411,6872755.09,6884491.24,0.09991224393642621,16722.031849148418,52155.236666666664,34935.87,220793.49,0.2119,10.196861313868613,true,High risk
feat_001,IND_016,13,4,4,0.3076923076923077,0.0013,184048.88,184048.88,0.002671037837617473,14157.606153846154,46012.22,50305.73,82079.75,0.2119,9.57923076923077,false,Insufficient sample
feat_001,IND_132,33,10,10,0.30303030303030304,0.0033,383884.53,383884.53,0.005571183616580552,11632.864545454546,38388.453,18439.98,158072.74,0.2119,9.113030303030303,false,Insufficient sample
feat_001,IND_175,20,6,6,0.3,0.002,144669.91,144669.91,0.0020995444447948525,7233.4955,24111.65166666667,3820.06,93478.99,0.2119,8.809999999999999,false,Insufficient sample
feat_001,IND_220,10,3,3,0.3,0.001,722536.92,722536.92,0.010485928805410764,72253.692,240845.64,240845.64,240845.64,0.2119,8.809999999999999,false,Insufficient sample
feat_001,IND_184,17,5,7,0.29411764705882354,0.0017,139574.50,139574.50,0.002025596519068956,8210.264705882353,19939.214285714286,10520.40,58222.13,0.2119,8.221764705882354,false,Insufficient sample
feat_001,IND_173,195,57,59,0.2923076923076923,0.0195,1494265.71,1495265.84,0.021700276773957413,7662.901076923077,25343.48881355932,17392.93,215495.72,0.2119,8.040769230769232,true,High risk
feat_001,IND_179,45,13,13,0.28888888888888886,0.0045,427236.96,437970.15,0.006356109542187925,9494.154666666667,33690.01153846154,23822.42,81071.34,0.2119,7.698888888888885,false,Insufficient sample
feat_001,IND_039,21,6,6,0.2857142857142857,0.0021,376868.43,376868.43,0.005469361380158858,17946.115714285716,62811.405,42638.94,202644.83,0.2119,7.381428571428569,false,Insufficient sample
feat_001,IND_223,14,4,4,0.2857142857142857,0.0014,51478.71,51478.71,0.0007470927410247592,3677.050714285714,12869.6775,9949.37,24087.83,0.2119,7.381428571428569,false,Insufficient sample
feat_001,IND_060,7,2,2,0.2857142857142857,0.0007,787.55,14546.48,0.00021110804088645267,112.50714285714285,7273.24,7273.24,7273.24,0.2119,7.381428571428569,false,Insufficient sample
feat_001,IND_205,7,2,2,0.2857142857142857,0.0007,43254.50,43254.50,0.0006277376213711541,6179.214285714285,21627.25,21627.25,21627.25,0.2119,7.381428571428569,false,Insufficient sample
feat_001,IND_218,99,28,29,0.2828282828282828,0.0099,825443.06,826023.75,0.011987797431968487,8337.808686868686,28483.577586206895,24967.48,103178.61,0.2119,7.092828282828282,false,Insufficient sample
feat_001,IND_003,26,7,7,0.2692307692307692,0.0026,248653.90,248653.90,0.00360862818274771,9563.611538461539,35521.985714285714,41160.45,63556.34,0.2119,5.733076923076921,false,Insufficient sample
feat_001,IND_037,26,7,7,0.2692307692307692,0.0026,352939.99,357959.98,0.0051949495749867855,13574.615,51137.14,51696.86,80999.39,0.2119,5.733076923076921,false,Insufficient sample
feat_001,IND_230,26,7,7,0.2692307692307692,0.0026,359212.29,359212.29,0.005213123917555057,13815.857307692308,51316.04142857143,11150.23,157397.59,0.2119,5.733076923076921,false,Insufficient sample
feat_001,IND_157,15,4,4,0.26666666666666666,0.0015,20339.26,20339.26,0.0002951766565987229,1355.9506666666666,5084.815,5084.81,5298.78,0.2119,5.476666666666666,false,Insufficient sample
feat_001,IND_183,965,254,266,0.2632124352331606,0.0965,8014059.88,8099170.63,0.11754046645679206,8304.725264248706,30448.009887218046,19086.82,321281.48,0.2119,5.131243523316062,true,High risk
feat_001,IND_103,80,21,21,0.2625,0.008,456125.76,456125.76,0.0066195956404191455,5701.572,21720.274285714284,19872.00,100207.72,0.2119,5.0600000000000005,false,Insufficient sample
feat_001,IND_077,58,15,18,0.25862068965517243,0.0058,464897.20,465136.66,0.006750367720374141,8015.4689655172415,25840.925555555557,21450.35,49358.85,0.2119,4.6720689655172425,false,Insufficient sample
feat_001,IND_201,31,8,8,0.25806451612903225,0.0031,580034.90,580034.92,0.008417846489798929,18710.803225806452,72504.365,50675.02,149910.06,0.2119,4.616451612903225,false,Insufficient sample
feat_001,IND_126,35,9,11,0.2571428571428571,0.0035,570405.21,570405.21,0.008278093834008338,16297.291714285715,51855.01909090909,21208.50,138141.99,0.2119,4.524285714285711,false,Insufficient sample
feat_001,IND_186,80,20,22,0.25,0.008,1008347.94,1008347.96,0.014633805729458339,12604.34925,45833.998181818184,32030.37,143023.03,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_229,64,16,16,0.25,0.0064,284472.34,284472.34,0.004128448833242466,4444.8803125,17779.52125,15663.80,31246.42,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_013,28,7,7,0.25,0.0028,152653.25,152715.35,0.0022163051371733183,5451.901785714285,21816.47857142857,13805.83,59721.63,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_096,20,5,5,0.25,0.002,56153.89,56153.89,0.0008149420138791904,2807.6945,11230.778,7180.49,33120.00,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_109,12,3,3,0.25,0.0012,100008.78,100008.78,0.001451392887986939,8334.065,33336.26,40143.35,44521.45,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_151,8,2,2,0.25,0.0008,5910.43,5910.43,8.577602953405336e-05,738.80375,2955.215,2955.21,3875.37,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_046,8,2,2,0.25,0.0008,65313.49,65313.49,0.0009478721255834344,8164.18625,32656.745,32656.74,39259.09,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_181,4,1,1,0.25,0.0004,55892.72,55892.72,0.0008111517438593427,13973.18,55892.72,55892.72,55892.72,0.2119,3.8099999999999996,false,Insufficient sample
feat_001,IND_006,118,29,29,0.2457627118644068,0.0118,738450.38,742891.72,0.01078133098866304,6258.05406779661,25616.955862068964,21902.92,166828.62,0.2119,3.3862711864406787,true,Portfolio-like
feat_001,IND_161,95,23,23,0.24210526315789474,0.0095,837162.12,853252.02,0.012382951911707048,8812.232842105263,37097.91391304348,22862.66,253000.00,0.2119,3.0205263157894735,false,Insufficient sample
feat_001,IND_018,240,57,63,0.2375,0.024,1386519.64,1401554.07,0.020340270217546388,5777.165166666667,22246.89,13554.23,80436.65,0.2119,2.5599999999999983,true,Portfolio-like
feat_001,IND_052,17,4,7,0.23529411764705882,0.0017,111093.00,111093.00,0.0016122543451198288,6534.882352941177,15870.42857142857,15198.23,40058.11,0.2119,2.3394117647058814,false,Insufficient sample
feat_001,IND_029,56,13,13,0.23214285714285715,0.0056,645791.08,645791.08,0.009372142932224594,11531.983571428571,49676.236923076925,40823.53,200612.50,0.2119,2.0242857142857145,false,Insufficient sample
feat_001,IND_147,82,19,22,0.23170731707317074,0.0082,737264.40,737264.40,0.010699663636792268,8991.029268292683,33512.01818181818,17477.91,162026.61,0.2119,1.9807317073170738,false,Insufficient sample
feat_001,IND_042,26,6,6,0.23076923076923078,0.0026,290397.67,290397.67,0.0042144411013310835,11169.141153846154,48399.611666666664,26766.52,99666.67,0.2119,1.8869230769230776,false,Insufficient sample
feat_001,IND_129,13,3,3,0.23076923076923078,0.0013,71381.60,71381.60,0.0010359365105056626,5490.892307692307,23793.866666666665,12623.30,48927.35,0.2119,1.8869230769230776,false,Insufficient sample
feat_001,IND_191,226,52,56,0.23008849557522124,0.0226,1555637.43,1556472.04,0.022588541218146272,6883.351460176991,27794.143571428573,18708.46,118590.98,0.2119,1.818849557522123,true,Portfolio-like
feat_001,IND_194,83,19,19,0.2289156626506024,0.0083,777525.17,779697.68,0.01131548317589632,9367.773132530121,41036.72,37250.03,119416.00,0.2119,1.7015662650602392,false,Insufficient sample
feat_001,IND_054,188,43,45,0.22872340425531915,0.0188,915462.21,927478.52,0.01346017547347995,4869.479840425532,20610.633777777777,14777.35,97743.39,0.2119,1.682340425531914,true,Portfolio-like
feat_001,IND_189,127,29,30,0.2283464566929134,0.0127,610571.08,626916.50,0.009098222670666154,4807.646299212598,20897.216666666667,13066.53,157658.78,0.2119,1.6446456692913392,true,Portfolio-like
feat_001,IND_106,88,20,20,0.22727272727272727,0.0088,907344.55,907619.59,0.013171969680298285,10310.733522727272,45380.9795,23387.59,435340.45,0.2119,1.537272727272726,false,Insufficient sample
feat_001,IND_102,22,5,5,0.22727272727272727,0.0022,159210.61,159210.61,0.0023105686025373193,7236.845909090909,31842.122,22129.07,87251.51,0.2119,1.537272727272726,false,Insufficient sample
feat_001,IND_163,9,2,2,0.2222222222222222,0.0009,54313.86,54313.86,0.0007882382939089777,6034.873333333333,27156.93,27156.93,41618.89,0.2119,1.0322222222222206,false,Insufficient sample
feat_001,IND_216,41,9,9,0.21951219512195122,0.0041,106222.35,106222.35,0.0015415682836572894,2590.789024390244,11802.483333333334,14117.57,24302.04,0.2119,0.7612195121951215,false,Insufficient sample
feat_001,IND_208,155,34,39,0.21935483870967742,0.0155,1124783.42,1126626.43,0.016350340319321113,7256.667225806452,28887.85717948718,20958.13,97041.16,0.2119,0.7454838709677419,true,Portfolio-like
feat_001,IND_092,272,59,63,0.21691176470588236,0.0272,1391564.10,1391857.51,0.02019954739079119,5116.044485294117,22092.97634920635,11946.46,107868.33,0.2119,0.5011764705882354,true,Portfolio-like
feat_001,IND_146,47,10,10,0.2127659574468085,0.0047,130912.49,130912.49,0.001899887759201355,2785.3721276595743,13091.249,11157.48,32711.10,0.2119,0.08659574468085074,false,Insufficient sample
feat_001,IND_058,38,8,8,0.21052631578947367,0.0038,264683.92,264683.92,0.003841266327341499,6965.366315789473,33085.49,29044.35,74439.85,0.2119,-0.13736842105263325,false,Insufficient sample
feat_001,IND_012,324,68,69,0.20987654320987653,0.0324,1655189.14,1682852.41,0.024422655884870113,5108.6084567901235,24389.16536231884,19750.52,103308.64,0.2119,-0.20234567901234735,true,Portfolio-like
feat_001,IND_025,43,9,11,0.20930232558139536,0.0043,210742.48,210742.48,0.0030584328362842717,4900.987906976744,19158.407272727272,11049.86,58942.38,0.2119,-0.2597674418604645,false,Insufficient sample
feat_001,IND_015,53,11,11,0.20754716981132076,0.0053,191717.09,191717.09,0.002782323921275231,3617.3035849056605,17428.826363636363,9411.08,50124.69,0.2119,-0.4352830188679241,false,Insufficient sample
feat_001,IND_107,230,47,50,0.20434782608695654,0.023,1653703.61,1658325.13,0.024066699940265404,7190.015695652174,33166.5026,14940.79,124639.96,0.2119,-0.755217391304347,true,Portfolio-like
feat_001,IND_193,54,11,11,0.2037037037037037,0.0054,143022.11,143022.11,0.0020756304924316213,2648.5575925925928,13002.01,12824.17,25372.57,0.2119,-0.8196296296296313,false,Insufficient sample
feat_001,IND_064,882,178,184,0.2018140589569161,0.0882,5104332.50,5134069.93,0.07450898393950613,5787.225056689343,27902.553967391304,17476.10,146953.15,0.2119,-1.0085941043083912,true,Portfolio-like
feat_001,IND_213,30,6,6,0.2,0.003,145318.45,145318.45,0.0021089564818537495,4843.948333333334,24219.741666666665,20791.80,59787.54,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_209,15,3,3,0.2,0.0015,123857.64,123857.64,0.0017975031574112455,8257.176,41285.88,48353.21,48353.21,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_001,15,3,3,0.2,0.0015,24687.81,24687.81,0.0003582856610586874,1645.854,8229.27,9490.46,11010.49,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_148,15,3,3,0.2,0.0015,43694.68,45471.28,0.0006599089839878332,2912.978666666667,15157.093333333334,8331.89,28807.50,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_167,5,1,1,0.2,0.0005,8223.81,8223.81,0.00011934931459173753,1644.762,8223.81,8223.81,8223.81,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_035,5,1,1,0.2,0.0005,9159.76,9159.76,0.00013293243372899106,1831.952,9159.76,9159.76,9159.76,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_027,5,1,1,0.2,0.0005,4156.91,5044.42,7.320792546433499e-05,831.382,5044.42,5044.42,5044.42,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_219,5,1,1,0.2,0.0005,2093.37,2093.37,3.0380355904003812e-05,418.674,2093.37,2093.37,2093.37,0.2119,-1.1899999999999995,false,Insufficient sample
feat_001,IND_199,117,23,20,0.19658119658119658,0.0117,511492.27,519519.96,0.0075396137730233195,4371.728803418803,25975.998,15577.82,108370.15,0.2119,-1.5318803418803428,true,Portfolio-like
feat_001,IND_022,148,28,28,0.1891891891891892,0.0148,1218318.41,1218318.43,0.017681034651211756,8231.881148648648,43511.3725,29827.37,336680.73,0.2119,-2.2710810810810806,true,Portfolio-like
feat_001,IND_101,139,26,31,0.18705035971223022,0.0139,826659.26,826659.26,0.01199702036913705,5947.188920863309,26666.427741935484,18097.54,67371.77,0.2119,-2.4849640287769788,true,Portfolio-like
feat_001,IND_008,71,13,13,0.18309859154929578,0.0071,376981.15,376981.15,0.005470997246593124,5309.593661971831,28998.55,25099.18,64651.42,0.2119,-2.8801408450704225,false,Insufficient sample
feat_001,IND_005,11,2,2,0.18181818181818182,0.0011,19162.68,19162.68,0.0002781013573685186,1742.0618181818181,9581.34,9581.34,13248.00,0.2119,-3.0081818181818183,false,Insufficient sample
feat_001,IND_048,511,92,98,0.18003913894324852,0.0511,2805394.40,2816745.31,0.040878451973962344,5490.008610567515,28742.299081632653,19841.47,100836.86,0.2119,-3.186086105675148,true,Portfolio-like
feat_001,IND_094,17,3,3,0.17647058823529413,0.0017,123192.17,123192.17,0.0017878454211088062,7246.598235294117,41064.056666666664,27265.76,68660.65,0.2119,-3.5429411764705874,false,Insufficient sample
feat_001,IND_211,53,9,9,0.16981132075471697,0.0053,295601.11,301100.86,0.004369772801655525,5577.379433962265,33455.65111111111,24696.26,60397.14,0.2119,-4.208867924528303,false,Insufficient sample
feat_001,IND_055,65,11,12,0.16923076923076924,0.0065,572624.78,574637.67,0.008339518064387805,8809.612,47886.4725,20426.57,195976.34,0.2119,-4.266923076923076,false,Insufficient sample
feat_001,IND_170,36,6,6,0.16666666666666666,0.0036,137953.55,137953.55,0.0020020722314835816,3832.0430555555554,22992.258333333335,25759.47,44204.49,0.2119,-4.523333333333335,false,Insufficient sample
feat_001,IND_128,6,1,1,0.16666666666666666,0.0006,16758.22,16758.22,0.0002432062597236011,2793.036666666667,16758.22,16758.22,16758.22,0.2119,-4.523333333333335,false,Insufficient sample
feat_001,IND_158,6,1,1,0.16666666666666666,0.0006,1930.73,1930.73,2.8020017748671896e-05,321.78833333333336,1930.73,1930.73,1930.73,0.2119,-4.523333333333335,false,Insufficient sample
feat_001,IND_149,6,1,1,0.16666666666666666,0.0006,12205.53,12205.53,0.00017713464193954995,2034.255,12205.53,12205.53,12205.53,0.2119,-4.523333333333335,false,Insufficient sample
feat_001,IND_206,6,1,2,0.16666666666666666,0.0006,27491.42,27491.42,0.00039897348481465224,4581.903333333334,13745.71,13745.71,16070.74,0.2119,-4.523333333333335,false,Insufficient sample
feat_001,IND_098,6,1,1,0.16666666666666666,0.0006,2409.24,2409.24,3.496446813423434e-05,401.54,2409.24,2409.24,2409.24,0.2119,-4.523333333333335,false,Insufficient sample
feat_001,IND_200,6,1,1,0.16666666666666666,0.0006,33551.83,33551.83,0.00048692612229593065,5591.971666666666,33551.83,33551.83,33551.83,0.2119,-4.523333333333335,false,Insufficient sample
feat_001,IND_095,67,11,17,0.16417910447761194,0.0067,400061.11,400061.11,0.005805948735842598,5971.061343283582,23533.006470588236,12582.80,93949.15,0.2119,-4.772089552238806,false,Insufficient sample
feat_001,IND_140,43,7,9,0.16279069767441862,0.0043,226631.10,226631.10,0.0032890188915078934,5270.490697674419,25181.233333333334,17354.88,56730.88,0.2119,-4.9109302325581385,false,Insufficient sample
feat_001,IND_038,127,20,20,0.15748031496062992,0.0127,384512.33,391826.56,0.005686443555339718,3027.6561417322837,19591.328,12565.41,64611.36,0.2119,-5.441968503937009,true,Low risk
feat_001,IND_232,113,17,17,0.1504424778761062,0.0113,327543.13,329383.17,0.0047802241999211756,2898.6117699115043,19375.480588235296,11605.84,57677.67,0.2119,-6.14575221238938,true,Low risk
feat_001,IND_150,201,29,33,0.14427860696517414,0.0201,816819.35,817837.45,0.011868992487053375,4063.7778606965176,24782.95303030303,18520.23,92742.94,0.2119,-6.762139303482587,true,Low risk
feat_001,IND_104,14,2,2,0.14285714285714285,0.0014,20316.92,20316.92,0.00029485244389342214,1451.2085714285715,10158.46,10158.46,10158.46,0.2119,-6.904285714285716,false,Insufficient sample
feat_001,IND_030,7,1,1,0.14285714285714285,0.0007,7870.32,7870.32,0.00011421923629286715,1124.3314285714287,7870.32,7870.32,7870.32,0.2119,-6.904285714285716,false,Insufficient sample
feat_001,IND_078,7,1,1,0.14285714285714285,0.0007,1.27,1.27,1.843107142936263e-08,0.18142857142857144,1.27,1.27,1.27,0.2119,-6.904285714285716,false,Insufficient sample
feat_001,IND_099,7,1,1,0.14285714285714285,0.0007,7399.84,7399.84,0.00010739132252429509,1057.12,7399.84,7399.84,7399.84,0.2119,-6.904285714285716,false,Insufficient sample
feat_001,IND_045,7,1,1,0.14285714285714285,0.0007,11695.81,11695.81,0.0001697372516017746,1670.83,11695.81,11695.81,11695.81,0.2119,-6.904285714285716,false,Insufficient sample
feat_001,IND_165,198,28,32,0.1414141414141414,0.0198,1079616.30,1080744.18,0.015684467069644048,5452.607575757575,33773.255625,23138.50,111677.36,0.2119,-7.048585858585859,true,Low risk
feat_001,IND_171,114,16,14,0.14035087719298245,0.0114,237472.27,239444.79,0.0034749795495108145,2083.090087719298,17103.199285714287,20313.60,27307.84,0.2119,-7.1549122807017556,true,Low risk
feat_001,IND_062,43,6,6,0.13953488372093023,0.0043,406188.56,409100.62,0.005937136022847667,9446.24558139535,68183.43666666666,62352.67,97337.27,0.2119,-7.236511627906977,false,Insufficient sample
feat_001,IND_040,15,2,4,0.13333333333333333,0.0015,58166.29,58166.29,0.0008441472801346624,3877.7526666666668,14541.5725,12269.70,33506.11,0.2119,-7.856666666666667,false,Insufficient sample
