loan_id,received_date,origination_year,loss_amount,loss_rank,positive_loss_loan_count,cumulative_positive_loss_loan_count,cumulative_positive_loss_loan_share,portfolio_positive_loss_amount,cumulative_positive_loss_amount,cumulative_positive_loss_share
LRQ-287273,2025-01-12,2025,193464.96,16,2232,16,0.007168458781362007,68905381.05,4169449.35,0.060509778575558726
LRQ-104191,2025-04-28,2025,184012.27,17,2232,17,0.0076164874551971325,68905381.05,4353461.62,0.06318028510488878
LRQ-843841,2025-04-28,2025,184012.27,18,2232,18,0.008064516129032258,68905381.05,4537473.89,0.06585079163421882
LRQ-501293,2024-05-12,2024,178124.40,19,2232,19,0.008512544802867384,68905381.05,4715598.29,0.06843584953950414
LRQ-681068,2024-05-12,2024,178124.40,20,2232,20,0.008960573476702509,68905381.05,4893722.69,0.07102090744478948
LRQ-673927,2025-07-12,2025,175081.41,21,2232,21,0.009408602150537635,68905381.05,5068804.10,0.0735618034870442
LRQ-382825,2024-12-18,2024,175050.17,22,2232,22,0.00985663082437276,68905381.05,5243854.27,0.0761022461539671
LRQ-103089,2024-12-25,2024,167469.66,23,2232,23,0.010304659498207885,68905381.05,5411323.93,0.07853267549704668
LRQ-392910,2024-12-25,2024,167469.66,24,2232,24,0.010752688172043012,68905381.05,5578793.59,0.08096310484012627
LRQ-214427,2022-05-30,2022,166828.62,25,2232,25,0.011200716845878136,68905381.05,5745622.21,0.08338423099105698
LRQ-762355,2024-12-14,2024,166237.25,26,2232,26,0.011648745519713262,68905381.05,5911859.46,0.0857967747933962
LRQ-903275,2024-12-14,2024,166237.25,27,2232,27,0.012096774193548387,68905381.05,6078096.71,0.08820931859573543
LRQ-424937,2024-05-29,2024,162026.61,28,2232,28,0.012544802867383513,68905381.05,6240123.32,0.09056075483382006
LRQ-202356,2024-05-04,2024,160072.64,29,2232,29,0.012992831541218637,68905381.05,6400195.96,0.09288383378006151
LRQ-464748,2024-05-04,2024,160072.64,30,2232,30,0.013440860215053764,68905381.05,6560268.60,0.09520691272630297
LRQ-361922,2020-12-15,2020,158814.71,31,2232,31,0.013888888888888888,68905381.05,6719083.31,0.09751173576885691
LRQ-894514,2025-01-15,2025,158072.74,32,2232,32,0.014336917562724014,68905381.05,6877156.05,0.09980579085702626
LRQ-163322,2025-02-13,2025,157658.78,33,2232,33,0.01478494623655914,68905381.05,7034814.83,0.1020938382866689
LRQ-459306,2020-09-06,2020,157397.59,34,2232,34,0.015232974910394265,68905381.05,7192212.42,0.10437809515603862
LRQ-478071,2020-09-06,2020,157397.59,35,2232,35,0.01568100358422939,68905381.05,7349610.01,0.10666235202540833
LRQ-246620,2023-04-22,2023,154255.09,36,2232,36,0.016129032258064516,68905381.05,7503865.10,0.10890100287748136
LRQ-693599,2023-05-23,2023,152232.93,37,2232,37,0.016577060931899642,68905381.05,7656098.03,0.11111030681978938
LRQ-141709,2022-12-14,2022,151815.51,38,2232,38,0.017025089605734768,68905381.05,7807913.54,0.11331355288978552
LRQ-128543,2025-05-30,2025,149910.06,39,2232,39,0.01747311827956989,68905381.05,7957823.60,0.11548914582194303
LRQ-428684,2025-05-30,2025,149910.06,40,2232,40,0.017921146953405017,68905381.05,8107733.66,0.11766473875410055
LRQ-232836,2025-10-16,2025,148533.30,41,2232,41,0.018369175627240143,68905381.05,8256266.96,0.11982035124381625
LRQ-818071,2025-06-07,2025,148062.50,42,2232,42,0.01881720430107527,68905381.05,8404329.46,0.12196913117571391
LRQ-645722,2023-09-13,2023,146953.15,43,2232,43,0.019265232974910396,68905381.05,8551282.61,0.12410181149415471
LRQ-708099,2023-09-13,2023,146953.15,44,2232,44,0.01971326164874552,68905381.05,8698235.76,0.12623449181259552
LRQ-473840,2024-05-21,2024,146258.91,45,2232,45,0.020161290322580645,68905381.05,8844494.67,0.1283570968656591
LRQ-641578,2025-11-27,2025,143023.03,46,2232,46,0.02060931899641577,68905381.05,8987517.70,0.13043274070973299
LRQ-770281,2025-11-27,2025,143023.03,47,2232,47,0.021057347670250897,68905381.05,9130540.73,0.13250838455380692
LRQ-826662,2025-11-27,2025,143023.03,48,2232,48,0.021505376344086023,68905381.05,9273563.76,0.13458402839788083
LRQ-920226,2025-03-13,2025,138141.99,49,2232,49,0.021953405017921146,68905381.05,9411705.75,0.1365888353940102
LRQ-502971,2025-02-04,2025,124639.96,50,2232,50,0.022401433691756272,68905381.05,9536345.71,0.13839769209142194
LRQ-855235,2025-01-29,2025,124579.24,51,2232,51,0.0228494623655914,68905381.05,9660924.95,0.14020566758044217
LRQ-560467,2018-09-22,2018,123486.60,52,2232,52,0.023297491039426525,68905381.05,9784411.55,0.14199778596246512
LRQ-754697,2018-09-22,2018,123486.60,53,2232,53,0.023745519713261647,68905381.05,9907898.15,0.14378990434448807
LRQ-727964,2019-03-19,2019,123285.76,54,2232,54,0.024193548387096774,68905381.05,10031183.91,0.14557910800494733
LRQ-724229,2025-10-18,2025,121150.05,55,2232,55,0.0246415770609319,68905381.05,10152333.96,0.1473373168437039
LRQ-690978,2020-08-09,2020,119416.00,56,2232,56,0.025089605734767026,68905381.05,10271749.96,0.14907036001363208
LRQ-953632,2023-11-20,2023,118590.98,57,2232,57,0.025537634408602152,68905381.05,10390340.94,0.15079142995320538
LRQ-711030,2022-05-20,2022,116747.98,58,2232,58,0.025985663082437275,68905381.05,10507088.92,0.1524857530702241
LRQ-711858,2020-10-03,2020,116287.94,59,2232,59,0.0264336917562724,68905381.05,10623376.86,0.15417339978558903
LRQ-696969,2022-08-29,2022,115700.73,60,2232,60,0.026881720430107527,68905381.05,10739077.59,0.1558525245250059
LRQ-302249,2025-04-02,2025,114759.25,61,2232,61,0.027329749103942653,68905381.05,10853836.84,0.15751798589030516
LRQ-704644,2023-05-09,2023,113141.97,62,2232,62,0.027777777777777776,68905381.05,10966978.81,0.1591599762294617
LRQ-187769,2024-07-20,2024,112812.90,63,2232,63,0.028225806451612902,68905381.05,11079791.71,0.16079719088934638
LRQ-802330,2024-07-20,2024,112812.90,64,2232,64,0.02867383512544803,68905381.05,11192604.61,0.16243440554923105
LRQ-726620,2023-05-26,2023,112140.42,65,2232,65,0.029121863799283155,68905381.05,11304745.03,0.16406186073910406
LRQ-805686,2022-11-08,2022,111677.36,66,2232,66,0.02956989247311828,68905381.05,11416422.39,0.16568259569910615
LRQ-326091,2024-05-20,2024,111347.36,67,2232,67,0.030017921146953404,68905381.05,11527769.75,0.16729854148306753
LRQ-902188,2024-05-20,2024,111347.36,68,2232,68,0.03046594982078853,68905381.05,11639117.11,0.1689144872670289
LRQ-182841,2024-07-07,2024,111206.10,69,2232,69,0.030913978494623656,68905381.05,11750323.21,0.1705283829933918
LRQ-849792,2024-07-07,2024,111206.10,70,2232,70,0.03136200716845878,68905381.05,11861529.31,0.17214227871975465
LRQ-747346,2024-11-07,2024,111119.15,71,2232,71,0.03181003584229391,68905381.05,11972648.46,0.1737549125707941
LRQ-562203,2024-09-27,2024,109774.40,72,2232,72,0.03225806451612903,68905381.05,12082422.86,0.17534803052946762
LRQ-858470,2022-08-19,2022,108446.23,73,2232,73,0.03270609318996416,68905381.05,12190869.09,0.17692187321558975
LRQ-575087,2024-11-17,2024,108370.15,74,2232,74,0.033154121863799284,68905381.05,12299239.24,0.17849461177894466
LRQ-524529,2023-07-14,2023,107868.33,75,2232,75,0.033602150537634407,68905381.05,12407107.57,0.1800600676019337
LRQ-310422,2023-08-29,2023,107467.59,76,2232,76,0.034050179211469536,68905381.05,12514575.16,0.18161970762369076
LRQ-485056,2022-06-06,2022,106424.29,77,2232,77,0.03449820788530466,68905381.05,12620999.45,0.18316420659283184
LRQ-280321,2024-04-18,2024,106419.79,78,2232,78,0.03494623655913978,68905381.05,12727419.24,0.18470864025502695
LRQ-575818,2024-04-18,2024,106419.79,79,2232,79,0.03539426523297491,68905381.05,12833839.03,0.18625307391722204
LRQ-642487,2024-04-18,2024,106419.79,80,2232,80,0.035842293906810034,68905381.05,12940258.82,0.18779750757941713
LRQ-107531,2019-05-15,2019,104971.12,81,2232,81,0.036290322580645164,68905381.05,13045229.94,0.18932091719417318
LRQ-799169,2022-10-14,2022,104917.83,82,2232,82,0.036738351254480286,68905381.05,13150147.77,0.19084355342956194
LRQ-751074,2018-05-30,2018,104515.77,83,2232,83,0.03718637992831541,68905381.05,13254663.54,0.19236035470701457
LRQ-832567,2018-05-30,2018,104515.77,84,2232,84,0.03763440860215054,68905381.05,13359179.31,0.19387715598446723
LRQ-130095,2022-12-17,2022,104056.84,85,2232,85,0.03808243727598566,68905381.05,13463236.15,0.1953872969693127
LRQ-290781,2019-04-12,2019,103862.28,86,2232,86,0.03853046594982079,68905381.05,13567098.43,0.1968946143720658
LRQ-403655,2025-02-20,2025,103308.64,87,2232,87,0.038978494623655914,68905381.05,13670407.07,0.1983938969886881
LRQ-850066,2025-02-20,2025,103308.64,88,2232,88,0.03942652329749104,68905381.05,13773715.71,0.1998931796053104
LRQ-736680,2024-03-07,2024,103178.61,89,2232,89,0.039874551971326166,68905381.05,13876894.32,0.2013905751414461
LRQ-779874,2024-09-01,2024,102524.80,90,2232,90,0.04032258064516129,68905381.05,13979419.12,0.20287848215883278
LRQ-638159,2024-11-18,2024,102333.44,91,2232,91,0.04077060931899642,68905381.05,14081752.56,0.20436361203462208
LRQ-552997,2025-04-20,2025,102072.23,92,2232,92,0.04121863799283154,68905381.05,14183824.79,0.20584495105988532
LRQ-847064,2022-03-28,2022,101947.24,93,2232,93,0.041666666666666664,68905381.05,14285772.03,0.20732447614844152
LRQ-675589,2023-11-05,2023,101924.46,94,2232,94,0.042114695340501794,68905381.05,14387696.49,0.20880367063872438
LRQ-495629,2018-07-24,2018,101341.79,95,2232,95,0.04256272401433692,68905381.05,14489038.28,0.21027440904051137
LRQ-671533,2022-11-24,2022,100836.86,96,2232,96,0.043010752688172046,68905381.05,14589875.14,0.21173781956757645
LRQ-833026,2023-09-13,2023,100226.24,97,2232,97,0.04345878136200717,68905381.05,14690101.38,0.21319236837744765
LRQ-643181,2022-12-14,2022,100207.72,98,2232,98,0.04390681003584229,68905381.05,14790309.10,0.2146466484129544
LRQ-471209,2025-02-27,2025,99666.67,99,2232,99,0.04435483870967742,68905381.05,14889975.77,0.2160930763766526
LRQ-677105,2025-02-27,2025,99666.67,100,2232,100,0.044802867383512544,68905381.05,14989642.44,0.2175395043403508
LRQ-531903,2023-08-01,2023,99141.78,101,2232,101,0.04525089605734767,68905381.05,15088784.22,0.2189783147567399
LRQ-597883,2023-04-06,2023,98569.87,102,2232,102,0.0456989247311828,68905381.05,15187354.09,0.22040882524079736
LRQ-999759,2023-04-06,2023,98569.87,103,2232,103,0.04614695340501792,68905381.05,15285923.96,0.22183933572485484
LRQ-961661,2018-09-18,2018,98497.61,104,2232,104,0.04659498207885305,68905381.05,15384421.57,0.22326879752448595
LRQ-977121,2025-01-12,2025,97743.39,105,2232,105,0.04704301075268817,68905381.05,15482164.96,0.22468731358971278
LRQ-334042,2022-10-03,2022,97337.27,106,2232,106,0.047491039426523295,68905381.05,15579502.23,0.22609993577562548
LRQ-565750,2018-08-31,2018,97132.33,107,2232,107,0.047939068100358424,68905381.05,15676634.56,0.22750958373809038
LRQ-152521,2023-11-10,2023,97041.16,108,2232,108,0.04838709677419355,68905381.05,15773675.72,0.22891790858182914
LRQ-151155,2023-05-09,2023,96933.06,109,2232,109,0.04883512544802868,68905381.05,15870608.78,0.23032466460759815
LRQ-869368,2023-05-09,2023,96933.06,110,2232,110,0.0492831541218638,68905381.05,15967541.84,0.2317314206333672
LRQ-454711,2025-08-13,2025,96279.86,111,2232,111,0.04973118279569892,68905381.05,16063821.70,0.2331286969931066
LRQ-538652,2025-08-13,2025,96279.86,112,2232,112,0.05017921146953405,68905381.05,16160101.56,0.23452597335284603
LRQ-667662,2025-08-13,2025,96279.86,113,2232,113,0.050627240143369175,68905381.05,16256381.42,0.2359232497125854
LRQ-393447,2020-09-02,2020,94690.41,114,2232,114,0.051075268817204304,68905381.05,16351071.83,0.2372974589333615
LRQ-738016,2020-09-02,2020,94690.41,115,2232,115,0.05152329749103943,68905381.05,16445762.24,0.2386716681541376
LRQ-218703,2022-05-09,2022,94004.62,116,2232,116,0.05197132616487455,68905381.05,16539766.86,0.24003592474146837
LRQ-317620,2022-05-09,2022,94004.62,117,2232,117,0.05241935483870968,68905381.05,16633771.48,0.24140018132879915
LRQ-596401,2022-05-09,2022,94004.62,118,2232,118,0.0528673835125448,68905381.05,16727776.10,0.24276443791612992
LRQ-615431,2022-05-09,2022,94004.62,119,2232,119,0.053315412186379925,68905381.05,16821780.72,0.2441286945034607
LRQ-641382,2022-05-09,2022,94004.62,120,2232,120,0.053763440860215055,68905381.05,16915785.34,0.2454929510907915
LRQ-124818,2025-01-02,2025,93949.15,121,2232,121,0.05421146953405018,68905381.05,17009734.49,0.24685640266116776
LRQ-497713,2025-01-02,2025,93949.15,122,2232,122,0.05465949820788531,68905381.05,17103683.64,0.2482198542315441
LRQ-678376,2021-01-08,2021,93575.02,123,2232,123,0.05510752688172043,68905381.05,17197258.66,0.24957787618242916
LRQ-723878,2021-01-08,2021,93575.02,124,2232,124,0.05555555555555555,68905381.05,17290833.68,0.25093589813331424
LRQ-684064,2025-04-28,2025,93478.99,125,2232,125,0.05600358422939068,68905381.05,17384312.67,0.2522925264339715
LRQ-786215,2025-04-30,2025,93119.86,126,2232,126,0.056451612903225805,68905381.05,17477432.53,0.2536439428049575
LRQ-237226,2020-12-15,2020,92865.09,127,2232,127,0.056899641577060935,68905381.05,17570297.62,0.25499166178691357
LRQ-289238,2020-12-15,2020,92865.09,128,2232,128,0.05734767025089606,68905381.05,17663162.71,0.2563393807688696
LRQ-625374,2020-12-15,2020,92865.09,129,2232,129,0.05779569892473118,68905381.05,17756027.80,0.25768709975082565
LRQ-104343,2018-06-18,2018,92742.94,130,2232,130,0.05824372759856631,68905381.05,17848770.74,0.2590330460120139
LRQ-943607,2024-12-30,2024,92088.89,131,2232,131,0.05869175627240143,68905381.05,17940859.63,0.26036950027141603
LRQ-109643,2019-06-08,2019,91908.00,132,2232,132,0.05913978494623656,68905381.05,18032767.63,0.26170332933671514
LRQ-456854,2020-06-30,2020,90805.58,133,2232,133,0.059587813620071685,68905381.05,18123573.21,0.2630211593612543
LRQ-521013,2020-06-30,2020,90805.58,134,2232,134,0.06003584229390681,68905381.05,18214378.79,0.2643389893857934
LRQ-714172,2023-05-24,2023,90423.75,135,2232,135,0.06048387096774194,68905381.05,18304802.54,0.26565127804340033
LRQ-307632,2025-03-24,2025,90060.24,136,2232,136,0.06093189964157706,68905381.05,18394862.78,0.2669582912059087
LRQ-263809,2022-06-10,2022,89909.56,137,2232,137,0.06137992831541219,68905381.05,18484772.34,0.2682631176016115
LRQ-334750,2022-06-10,2022,89909.56,138,2232,138,0.06182795698924731,68905381.05,18574681.90,0.26956794399731426
LRQ-998928,2025-09-19,2025,89497.84,139,2232,139,0.062275985663082435,68905381.05,18664179.74,0.27086679524283686
LRQ-690890,2022-04-13,2022,87251.51,140,2232,140,0.06272401433691756,68905381.05,18751431.25,0.2721330462767973
LRQ-981488,2022-12-25,2022,86278.43,141,2232,141,0.06317204301075269,68905381.05,18837709.68,0.2733851753367526
LRQ-608967,2018-08-26,2018,85737.19,142,2232,142,0.06362007168458782,68905381.05,18923446.87,0.274629449567495
LRQ-615698,2018-08-26,2018,85737.19,143,2232,143,0.06406810035842293,68905381.05,19009184.06,0.2758737237982374
LRQ-408210,2023-03-21,2023,85540.42,144,2232,144,0.06451612903225806,68905381.05,19094724.48,0.2771151423739206
LRQ-797291,2023-03-21,2023,85540.42,145,2232,145,0.06496415770609319,68905381.05,19180264.90,0.2783565609496038
LRQ-511780,2023-06-04,2023,84828.14,146,2232,146,0.06541218637992832,68905381.05,19265093.04,0.27958764245161954
LRQ-929331,2023-06-04,2023,84828.14,147,2232,147,0.06586021505376344,68905381.05,19349921.18,0.2808187239536353
LRQ-324128,2025-10-27,2025,84405.12,148,2232,148,0.06630824372759857,68905381.05,19434326.30,0.282043666312473
LRQ-346287,2025-10-27,2025,84405.12,149,2232,149,0.0667562724014337,68905381.05,19518731.42,0.28326860867131076
LRQ-684468,2023-08-09,2023,84133.82,150,2232,150,0.06720430107526881,68905381.05,19602865.24,0.2844896137469368
LRQ-770287,2023-02-17,2023,83501.48,151,2232,151,0.06765232974910394,68905381.05,19686366.72,0.28570144189050967
LRQ-671975,2018-11-05,2018,82868.21,152,2232,152,0.06810035842293907,68905381.05,19769234.93,0.2869040796052604
LRQ-179459,2021-01-15,2021,82624.24,153,2232,153,0.06854838709677419,68905381.05,19851859.17,0.2881031766676516
LRQ-536757,2022-07-14,2022,82079.75,154,2232,154,0.06899641577060932,68905381.05,19933938.92,0.2892943717347022
LRQ-629740,2024-03-18,2024,81797.57,155,2232,155,0.06944444444444445,68905381.05,20015736.49,0.29048147162085824
LRQ-324565,2025-04-11,2025,81729.21,156,2232,156,0.06989247311827956,68905381.05,20097465.70,0.29166757942194127
LRQ-558514,2025-04-11,2025,81729.21,157,2232,157,0.07034050179211469,68905381.05,20179194.91,0.29285368722302424
LRQ-428878,2025-09-14,2025,81324.45,158,2232,158,0.07078853046594982,68905381.05,20260519.36,0.2940339208820035
LRQ-549888,2025-07-06,2025,81081.59,159,2232,159,0.07123655913978495,68905381.05,20341600.95,0.29521062999766984
LRQ-380113,2023-11-15,2023,81071.34,160,2232,160,0.07168458781362007,68905381.05,20422672.29,0.2963871903586258
LRQ-323438,2019-12-14,2019,80999.39,161,2232,161,0.0721326164874552,68905381.05,20503671.68,0.29756270653407846
LRQ-663268,2019-12-14,2019,80999.39,162,2232,162,0.07258064516129033,68905381.05,20584671.07,0.29873822270953104
LRQ-494446,2018-10-27,2018,80982.48,163,2232,163,0.07302867383512544,68905381.05,20665653.55,0.2999134934759932
LRQ-553460,2018-10-27,2018,80982.48,164,2232,164,0.07347670250896057,68905381.05,20746636.03,0.3010887642424554
LRQ-566660,2024-02-13,2024,80878.27,165,2232,165,0.0739247311827957,68905381.05,20827514.30,0.3022625226451745
LRQ-399005,2023-10-30,2023,80730.00,166,2232,166,0.07437275985663082,68905381.05,20908244.30,0.30343412925658586
LRQ-759666,2023-10-30,2023,80730.00,167,2232,167,0.07482078853046595,68905381.05,20988974.30,0.3046057358679972
LRQ-525926,2019-11-07,2019,80493.08,168,2232,168,0.07526881720430108,68905381.05,21069467.38,0.30577390414126443
LRQ-796362,2019-11-07,2019,80493.08,169,2232,169,0.07571684587813621,68905381.05,21149960.46,0.3069420724145317
LRQ-105136,2023-11-14,2023,80436.65,170,2232,170,0.07616487455197132,68905381.05,21230397.11,0.308109421738696
LRQ-714084,2025-12-14,2025,80053.03,171,2232,171,0.07661290322580645,68905381.05,21310450.14,0.30927120371827627
LRQ-162835,2019-03-17,2019,79978.42,172,2232,172,0.07706093189964158,68905381.05,21390428.56,0.3104319029086916
LRQ-716314,2025-11-30,2025,79643.37,173,2232,173,0.0775089605734767,68905381.05,21470071.93,0.31158773963416025
LRQ-588925,2025-02-24,2025,79047.71,174,2232,174,0.07795698924731183,68905381.05,21549119.64,0.3127349317517489
LRQ-670900,2025-02-24,2025,79047.71,175,2232,175,0.07840501792114696,68905381.05,21628167.35,0.3138821238693375
LRQ-431830,2024-07-10,2024,78459.15,176,2232,176,0.07885304659498207,68905381.05,21706626.50,0.31502077441889426
LRQ-412555,2024-06-19,2024,78076.33,177,2232,177,0.0793010752688172,68905381.05,21784702.83,0.3161538692339907
LRQ-651401,2019-09-23,2019,77982.90,178,2232,178,0.07974910394265233,68905381.05,21862685.73,0.31728560813176143
LRQ-211694,2023-06-16,2023,77895.74,179,2232,179,0.08019713261648745,68905381.05,21940581.47,0.31841608210655126
LRQ-323903,2025-02-08,2025,77765.96,180,2232,180,0.08064516129032258,68905381.05,22018347.43,0.31954467262901814
LRQ-196080,2023-03-27,2023,77500.58,181,2232,181,0.08109318996415771,68905381.05,22095848.01,0.3206694117831891
LRQ-607718,2023-03-27,2023,77500.58,182,2232,182,0.08154121863799284,68905381.05,22173348.59,0.3217941509373599
LRQ-577755,2022-08-29,2022,77205.65,183,2232,183,0.08198924731182795,68905381.05,22250554.24,0.3229146098742893
LRQ-725418,2022-08-29,2022,77205.65,184,2232,184,0.08243727598566308,68905381.05,22327759.89,0.3240350688112188
LRQ-822293,2022-08-29,2022,77205.65,185,2232,185,0.08288530465949821,68905381.05,22404965.54,0.3251555277481482
LRQ-523590,2024-09-14,2024,77125.90,186,2232,186,0.08333333333333333,68905381.05,22482091.44,0.3262748293008678
LRQ-263848,2024-08-08,2024,77096.63,187,2232,187,0.08378136200716846,68905381.05,22559188.07,0.32739370606818524
LRQ-368562,2024-08-08,2024,77096.63,188,2232,188,0.08422939068100359,68905381.05,22636284.70,0.32851258283550266
LRQ-708685,2024-08-08,2024,77096.63,189,2232,189,0.0846774193548387,68905381.05,22713381.33,0.3296314596028201
LRQ-178998,2019-03-11,2019,76935.11,190,2232,190,0.08512544802867383,68905381.05,22790316.44,0.3307479922861555
LRQ-322950,2019-03-11,2019,76935.11,191,2232,191,0.08557347670250896,68905381.05,22867251.55,0.33186452496949076
LRQ-291373,2018-07-19,2018,76177.29,192,2232,192,0.08602150537634409,68905381.05,22943428.84,0.33297005967286497
LRQ-431434,2024-10-17,2024,76143.10,193,2232,193,0.08646953405017921,68905381.05,23019571.94,0.3340750981885761
LRQ-250628,2025-04-24,2025,75882.35,194,2232,194,0.08691756272401434,68905381.05,23095454.29,0.3351763525295823
LRQ-955960,2022-07-17,2022,75017.48,195,2232,195,0.08736559139784947,68905381.05,23170471.77,0.33626505531094514
LRQ-114778,2024-07-20,2024,74858.28,196,2232,196,0.08781362007168458,68905381.05,23245330.05,0.3373514476776847
LRQ-864610,2023-09-21,2023,74604.68,197,2232,197,0.08826164874551971,68905381.05,23319934.73,0.33843415963520024
LRQ-656053,2023-04-09,2023,74580.65,198,2232,198,0.08870967741935484,68905381.05,23394515.38,0.33951652285362405
LRQ-870563,2025-07-13,2025,74569.88,199,2232,199,0.08915770609318996,68905381.05,23469085.26,0.34059872977075717
LRQ-401768,2023-12-27,2023,74439.85,200,2232,200,0.08960573476702509,68905381.05,23543525.11,0.34167904960740364
LRQ-826480,2023-12-27,2023,74439.85,201,2232,201,0.09005376344086022,68905381.05,23617964.96,0.34275936944405017
LRQ-129537,2024-09-25,2024,74297.91,202,2232,202,0.09050179211469533,68905381.05,23692262.87,0.34383762935449297
LRQ-246051,2020-07-11,2020,74101.40,203,2232,203,0.09094982078853046,68905381.05,23766364.27,0.34491303738316675
LRQ-451426,2020-07-11,2020,74101.40,204,2232,204,0.0913978494623656,68905381.05,23840465.67,0.34598844541184065
LRQ-213684,2023-05-31,2023,74070.40,205,2232,205,0.09184587813620072,68905381.05,23914536.07,0.34706340354821974
LRQ-307232,2025-05-31,2025,73374.67,206,2232,206,0.09229390681003584,68905381.05,23987910.74,0.34812826479536607
LRQ-892713,2025-05-31,2025,73374.67,207,2232,207,0.09274193548387097,68905381.05,24061285.41,0.34919312604251246
LRQ-619971,2018-08-28,2018,72930.55,208,2232,208,0.0931899641577061,68905381.05,24134215.96,0.3502515419294674
LRQ-983305,2018-08-28,2018,72930.55,209,2232,209,0.09363799283154121,68905381.05,24207146.51,0.35130995781642227
LRQ-307832,2024-04-21,2024,72779.25,210,2232,210,0.09408602150537634,68905381.05,24279925.76,0.35236617793872577
LRQ-230107,2018-10-03,2018,72220.48,211,2232,211,0.09453405017921147,68905381.05,24352146.24,0.35341428882497994
LRQ-679493,2018-10-03,2018,72220.48,212,2232,212,0.09498207885304659,68905381.05,24424366.72,0.35446239971123417
LRQ-712550,2018-10-03,2018,72220.48,213,2232,213,0.09543010752688172,68905381.05,24496587.20,0.3555105105974884
LRQ-306143,2025-03-19,2025,72217.09,214,2232,214,0.09587813620071685,68905381.05,24568804.29,0.35655857228584326
LRQ-830079,2025-03-19,2025,72217.09,215,2232,215,0.09632616487455196,68905381.05,24641021.38,0.3576066339741982
LRQ-674857,2018-05-19,2018,71960.96,216,2232,216,0.0967741935483871,68905381.05,24712982.34,0.3586509785363127
LRQ-806354,2024-11-22,2024,71949.24,217,2232,217,0.09722222222222222,68905381.05,24784931.58,0.35969515301011457
LRQ-849594,2024-11-22,2024,71949.24,218,2232,218,0.09767025089605735,68905381.05,24856880.82,0.36073932748391646
LRQ-467163,2020-12-16,2020,71717.20,219,2232,219,0.09811827956989247,68905381.05,24928598.02,0.36178013444132895
LRQ-973223,2020-12-16,2020,71717.20,220,2232,220,0.0985663082437276,68905381.05,25000315.22,0.36282094139874144
LRQ-328749,2025-05-26,2025,70895.51,221,2232,221,0.09901433691756273,68905381.05,25071210.73,0.3638498234529392
LRQ-371420,2025-05-26,2025,70895.51,222,2232,222,0.09946236559139784,68905381.05,25142106.24,0.36487870550713686
LRQ-814962,2025-10-27,2025,70872.90,223,2232,223,0.09991039426523297,68905381.05,25212979.14,0.3659072594302126
LRQ-478838,2020-03-31,2020,70817.70,224,2232,224,0.1003584229390681,68905381.05,25283796.84,0.36693501225475045
LRQ-906795,2023-09-16,2023,70797.83,225,2232,225,0.10080645161290322,68905381.05,25354594.67,0.36796247671284016
LRQ-485131,2023-05-03,2023,70746.16,226,2232,226,0.10125448028673835,68905381.05,25425340.83,0.36898919130206304
LRQ-621376,2025-04-20,2025,70710.26,227,2232,227,0.10170250896057348,68905381.05,25496051.09,0.3700153848869834
LRQ-262448,2024-04-14,2024,70671.71,228,2232,228,0.10215053763440861,68905381.05,25566722.80,0.3710410190090662
LRQ-478046,2023-07-04,2023,70614.43,229,2232,229,0.10259856630824372,68905381.05,25637337.23,0.3720658218462896
